year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2025,SMU,School of Law,Law (Cum Laude and above),NA,NA,NA,NA,NA,NA,NA,NA
2025,SUTD,SUTD,Bachelor of Engineering (Computer Science and Design),91.7,76.9,NA,NA,5375,5000,4800,5825
2025,SUTD,SUTD,Bachelor of Engineering (Engineering Product Development),84.2,71.9,NA,NA,5020,4965,4500,5400
2025,SUTD,SUTD,Bachelor of Science (Design and Artificial Intelligence),81.8,63.6,NA,NA,4652,4925,4096,5393
2025,SUTD,SUTD,Bachelor of Engineering (Engineering Systems and Design),93.0,73.7,NA,NA,4595,4900,4100,5200
2025,SUTD,SUTD,Bachelor of Science (Architecture and Sustainable Design),97.1,91.4,NA,NA,4396,4490,4000,4800
2025,SIT,Culinary Institute of America,Bachelor of Business Administration in Food Business Management,100.0,63.6,2999,3000,3545,3500,3400,3800
2025,SIT,DigiPen Institute of Technology,Bachelor of Arts in User Experience and Game Design,80.0,50.0,3725,3550,3814,3600,3300,4100
2025,SIT,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Art and Animation,72.2,44.4,NA,NA,NA,NA,NA,NA
2025,SIT,Singapore Institute of Technology,Bachelor of Accountancy with Honours,97.6,87.3,4297,4350,4349,4350,4000,4550
2025,SIT,Singapore Institute of Technology,Bachelor of Engineering with Honours in Computer Engineering,79.2,64.6,4498,4500,4638,4534,4000,5000
2025,SIT,Singapore Institute of Technology,Bachelor of Engineering with Honours in Information & Communications Technology (Information Security),84.2,74.7,5052,5000,5192,5000,4500,5600
2025,SIT,Singapore Institute of Technology,Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering),86.8,76.5,5025,5000,5128,5000,4800,5500
2025,SIT,Singapore Institute of Technology,Bachelor of Engineering with Honours in Pharmaceutical Engineering,96.8,92.1,3965,3975,4548,4500,4200,4721
2025,SIT,Singapore Institute of Technology,Bachelor of Engineering with Honours in Robotics Systems,80.0,72.0,4581,4500,4656,4650,4200,5000
2025,SIT,Singapore Institute of Technology,Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Building Services),90.2,80.4,4124,4000,4238,4000,3820,4400
2025,SIT,Singapore Institute of Technology,Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land),83.7,65.3,4239,4225,4513,4550,4081,5025
2025,SIT,Singapore Institute of Technology,Bachelor of Hospitality Business with Honours,85.9,70.7,3555,3500,3767,3500,3310,4000
2025,SIT,Singapore Institute of Technology,Bachelor of Science with Honours in Air Transport Management,75.6,60.0,3866,3800,4200,4100,3820,4500
